bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,sex,cluster_hierarquico,CP1,CP2
45.2,16.4,223.0,5950.0,Gentoo,Male,1,2.362365402645559,0.023838207379955432
49.1,14.5,212.0,4625.0,Gentoo,Female,1,1.715207479314473,-0.45910789432705645
52.5,15.6,221.0,5450.0,Gentoo,Male,1,2.709956182845898,0.44664339584157153
47.4,14.6,212.0,4725.0,Gentoo,Female,1,1.6214193305137894,-0.5942915285994267
50.0,15.9,224.0,5350.0,Gentoo,Male,1,2.4948739534890443,0.28417860648978865
44.9,13.8,212.0,4750.0,Gentoo,Female,1,1.5921847597670842,-1.1890984019405992
50.8,17.3,228.0,5600.0,Gentoo,Male,1,2.612738304232949,0.9651717046752745
43.4,14.4,218.0,4600.0,Gentoo,Female,1,1.4885357566505948,-1.1254581957167389
51.3,14.2,218.0,5300.0,Gentoo,Male,1,2.668188907099151,-0.26745805956330687
47.5,14.0,212.0,4875.0,Gentoo,Female,1,1.8542970764434923,-0.8102774130524433
52.1,17.0,230.0,5550.0,Gentoo,Male,1,2.8300122064595636,0.9812286489715838
47.5,15.0,218.0,4950.0,Gentoo,Female,1,1.9487749339511191,-0.39683423021881603
52.2,17.1,228.0,5400.0,Gentoo,Male,1,2.633299171136787,1.0165091181401864
45.5,14.5,212.0,4750.0,Gentoo,Female,1,1.5001758337502744,-0.8401927871264314
49.5,16.1,224.0,5650.0,Gentoo,Male,1,2.6179469341521777,0.34193970488625447
44.5,14.7,214.0,4850.0,Gentoo,Female,1,1.5265876640000207,-0.8579342332085887
50.8,15.7,226.0,5200.0,Gentoo,Male,1,2.5816151578273265,0.27539967541071797
49.4,15.8,216.0,4925.0,Gentoo,Male,1,1.8458583607214039,0.13193861315616762
46.9,14.6,222.0,4875.0,Gentoo,Female,1,2.0926134023048384,-0.6316210095449979
48.4,14.4,203.0,4625.0,Gentoo,Female,1,1.307844698578979,-0.5776878395651135
51.1,16.5,225.0,5250.0,Gentoo,Male,1,2.4374671752379813,0.63701247924955
48.5,15.0,219.0,4850.0,Gentoo,Female,1,2.0048290029303812,-0.2976918430332344
55.9,17.0,228.0,5600.0,Gentoo,Male,1,3.099533461894249,1.4023278387187434
47.2,15.5,215.0,4975.0,Gentoo,Female,1,1.716262390829684,-0.22525922202513166
49.1,15.0,228.0,5500.0,Gentoo,Male,1,2.869242822986906,-0.16204205502875413
47.3,13.8,216.0,4725.0,Gentoo,,1,1.9395770802001706,-0.9282461982291862
46.8,16.1,215.0,5500.0,Gentoo,Male,1,1.9205514306286626,0.028983954425220237
41.7,14.7,210.0,4700.0,Gentoo,Female,1,1.025957675859533,-1.1810287928180108
53.4,15.8,219.0,5500.0,Gentoo,Male,1,2.696701190847432,0.6310626266630426
43.3,14.0,208.0,4575.0,Gentoo,Female,1,1.134040931185109,-1.3024954868309253
48.1,15.1,209.0,5500.0,Gentoo,Male,1,1.985991280889243,-0.23418851479992858
50.5,15.2,216.0,5000.0,Gentoo,Female,1,2.1108861441850593,0.01756634843647471
49.8,15.9,229.0,5950.0,Gentoo,Male,1,3.0941501198556933,0.32629876704012806
43.5,15.2,213.0,4650.0,Gentoo,Female,1,1.1635932014571744,-0.7863985242703735
51.5,16.3,230.0,5500.0,Gentoo,Male,1,2.8877826805998317,0.6270554956196892
46.2,14.1,217.0,4375.0,Gentoo,Female,1,1.5881668781817189,-0.9640528551559635
55.1,16.0,230.0,5850.0,Gentoo,Male,1,3.4889854283737765,0.9368120081173729
44.5,15.7,217.0,4875.0,Gentoo,,1,1.4637572974803639,-0.4502461990760502
48.8,16.2,222.0,6000.0,Gentoo,Male,1,2.6968122453158054,0.34228361740018975
47.2,13.7,214.0,4925.0,Gentoo,Female,1,2.0064355378651673,-0.9589092757445438
46.8,14.3,215.0,4850.0,Gentoo,Female,1,1.840886412529227,-0.7677140250257907
50.4,15.7,222.0,5750.0,Gentoo,Male,1,2.760742012795456,0.28888648142526285
45.2,14.8,212.0,5200.0,Gentoo,Female,1,1.7223637766519189,-0.7042694221387715
49.9,16.1,213.0,5400.0,Gentoo,Male,1,2.0289019296895887,0.35762007928126016
